threshold,accuracy,precision_bad_risk,recall_bad_risk,f1_bad_risk,true_negatives,false_positives,false_negatives,true_positives,false_positive_rate,false_negative_rate,high_risk_flag_rate,favourable_rate,total_cost,avg_cost_per_applicant
default_0_50,0.75,0.6190476190476191,0.43333333333333335,0.5098039215686274,124,16,34,26,0.11428571428571428,0.5666666666666667,0.21,0.79,186,0.93
selected_0.16,0.515,0.3706293706293706,0.8833333333333333,0.5221674876847291,50,90,7,53,0.6428571428571429,0.11666666666666667,0.715,0.28500000000000003,125,0.625
